city,state_id,lat,lng,population,density,id
Casper,WY,42.843,-106.3205,69224,881,0
Nashville,TN,36.1714,-86.7844,1065078,535,1
Dayton,OH,39.7798,-84.1999,718772,974,2
Staten Island,NY,40.5834,-74.1496,476015,3155,3
Brooklyn,NY,40.6501,-73.9496,2629150,14606,4
New York,NY,40.6943,-73.9249,19164071,10934,5
Queens,NY,40.7498,-73.7976,2333054,8247,6
Manhattan,NY,40.7834,-73.9662,1643734,27799,7
Bronx,NY,40.8501,-73.8662,1455720,13202,8
Lees Summit,MO,38.9172,-94.3816,89467,581,9
Methuen,MA,42.734,-71.1889,49917,866,10
Louisville,KY,38.1662,-85.6488,1003412,902,11
Indianapolis,IN,39.7771,-86.1458,1550488,913,12
Athens,GA,33.9508,-83.3689,137582,409,13
Augusta,GA,33.3644,-82.0708,389215,251,14
Peachtree Corners,GA,33.9668,-84.2321,42773,1020,15
Brookhaven,GA,33.8746,-84.3315,52444,1747,16
City of Milford,CT,41.2253,-73.0624,52536,926,17
Eastvale,CA,33.9617,-117.5803,61151,1864,18
Boise,ID,43.5991,-116.2306,379410,1070,19
Fairbanks,AK,64.8353,-147.6533,66996,398,20
Anchorage,AK,61.1508,-149.1091,256724,67,21
El Paso,TX,31.8478,-106.431,845059,1027,22
Oro Valley,AZ,32.4226,-110.9767,43781,476,23
Marana,AZ,32.4355,-111.1558,43474,138,24
Victoria,TX,28.8284,-96.9848,68845,705,25
Dunwoody,GA,33.9418,-84.3123,48884,1455,26
Menifee,CA,33.6909,-117.1849,88531,735,27
Los Lunas,NM,34.8092,-106.7663,66411,374,28
Castle Rock,CO,39.3761,-104.8536,57666,655,29
Parker,CO,39.5075,-104.7746,51163,927,30
Texas City,TX,29.4127,-94.9658,113847,289,31
San Antonio,TX,29.4722,-98.5247,1976787,1250,32
Sugar Land,TX,29.5956,-95.6283,88177,1013,33
San Marcos,TX,29.8766,-97.9311,72928,791,34
Temple,TX,31.1077,-97.3899,100641,407,35
San Angelo,TX,31.4424,-100.4503,100472,652,36
Waco,TX,31.5597,-97.1882,185680,583,37
Sierra Vista,AZ,31.5631,-110.3153,51927,109,38
Sahuarita,AZ,31.9328,-110.9654,46385,353,39
Tucson,AZ,32.1558,-110.8777,860333,887,40
Tyler,TX,32.3184,-95.3065,140857,714,41
Wylie,TX,33.0353,-96.517,47701,871,42
Flower Mound,TX,33.0344,-97.1147,73547,677,43
Yuma,AZ,32.599,-114.5489,137936,303,44
Vista,CA,33.1895,-117.2386,101659,2101,45
Santee,CA,32.8555,-116.9848,57834,1375,46
San Marcos,CA,33.135,-117.1743,95261,1509,47
San Diego,CA,32.8312,-117.1225,3181172,1670,48
Texarkana,TX,33.4487,-94.0814,80888,500,49
Yorba Linda,CA,33.889,-117.7714,68235,1364,50
Westminster,CA,33.7523,-117.9938,91565,3520,51
Tustin,CA,33.7309,-117.8106,80395,2791,52
Santa Ana,CA,33.7366,-117.8819,334217,4753,53
San Clemente,CA,33.4498,-117.6103,65309,1373,54
Sherman,TX,33.6266,-96.6195,66791,365,55
Gilbert,AZ,33.3103,-111.7463,237133,1346,56
Tempe,AZ,33.3881,-111.9318,182498,1762,57
Surprise,AZ,33.6802,-112.4525,132677,474,58
Scottsdale,AZ,33.6872,-111.865,246645,517,59
Buckeye,AZ,33.4318,-112.643,64629,63,60
Temecula,CA,33.4928,-117.1315,113054,1173,61
San Jacinto,CA,33.797,-116.9915,47413,711,62
Wichita Falls,TX,33.9072,-98.5293,99596,559,63
Whittier,CA,33.9678,-118.0188,86883,2289,64
West Covina,CA,34.0555,-117.9112,107847,2595,65
Torrance,CA,33.8346,-118.3417,147195,2775,66
South Gate,CA,33.9448,-118.1926,95538,5097,67
Santa Monica,CA,34.0232,-118.4813,92478,4243,68
Santa Clarita,CA,34.4119,-118.5036,266958,1332,69
Thousand Oaks,CA,34.1914,-118.8755,218548,901,70
Simi Valley,CA,34.2663,-118.749,127308,1175,71
Santa Maria,CA,34.9334,-120.4433,139270,1801,72
Santa Barbara,CA,34.4285,-119.7202,203655,1821,73
Prescott Valley,AZ,34.5983,-112.3178,94154,408,74
San Luis Obispo,CA,35.2671,-120.6689,62391,1397,75
Apple Valley,CA,34.5329,-117.2102,72553,376,76
Yucaipa,CA,34.0335,-117.0426,53309,724,77
Victorville,CA,34.5277,-117.3537,346449,643,78
Upland,CA,34.1178,-117.6603,76684,1895,79
San Bernardino,CA,34.1412,-117.2936,216239,1357,80
Santa Fe,NM,35.6619,-105.9818,110208,617,81
Stillwater,OK,36.1315,-97.074,48233,647,82
Tulsa,OK,36.1284,-95.9037,674211,790,83
Visalia,CA,36.3271,-119.3265,231159,1358,84
Tulare,CA,36.1996,-119.34,62779,1189,85
Seaside,CA,36.6224,-121.8191,118670,1433,86
Salinas,CA,36.6881,-121.6316,193126,2571,87
Watsonville,CA,36.9206,-121.7706,77266,3105,88
Santa Cruz,CA,36.9788,-122.0346,176037,1953,89
Sunnyvale,CA,37.3846,-122.0261,152771,2683,90
Santa Clara,CA,37.3646,-121.9679,125948,2641,91
San Jose,CA,37.302,-121.8488,1804359,2242,92
Selma,CA,36.5743,-119.6156,44292,1848,93
Saint George,UT,37.0769,-113.5771,111090,416,94
South San Francisco,CA,37.6537,-122.4197,66980,2817,95
San Mateo,CA,37.5522,-122.3122,103959,3309,96
San Bruno,CA,37.6254,-122.4313,42957,3037,97
San Francisco,CA,37.7561,-122.4429,3548847,7170,98
Union City,CA,37.603,-122.0187,75322,1499,99
San Leandro,CA,37.7071,-122.1601,90465,2616,100
Turlock,CA,37.5053,-120.8588,106100,1660,101
Danville,CA,37.8121,-121.9698,44631,953,102
Walnut Creek,CA,37.9025,-122.0398,69122,1350,103
San Ramon,CA,37.7625,-121.9366,75639,1567,104
Tracy,CA,37.7254,-121.4447,94277,1527,105
Stockton,CA,37.9766,-121.3111,390117,1922,106
San Rafael,CA,37.9905,-122.5222,58954,1373,107
Vallejo,CA,38.1134,-122.2359,172697,1526,108
Vacaville,CA,38.3592,-121.9686,99059,1317,109
Sacramento,CA,38.5666,-121.4683,1830061,1952,110
Santa Rosa,CA,38.4465,-122.7059,321699,1637,111
Woodland,CA,38.6712,-121.75,59117,1490,112
West Sacramento,CA,38.5556,-121.5504,52981,951,113
Yuba City,CA,39.1357,-121.6381,120159,1729,114
Westminster,CO,39.8837,-105.0627,113875,1387,115
Thornton,CO,39.9202,-104.9445,136703,1478,116
West Valley City,UT,40.6889,-112.0115,136574,1486,117
West Jordan,UT,40.6024,-112.0008,113699,1358,118
Taylorsville,UT,40.657,-111.9493,60436,2150,119
South Jordan,UT,40.5571,-111.9783,69034,1199,120
Salt Lake City,UT,40.7774,-111.9301,1061156,672,121
New Braunfels,TX,29.6995,-98.1152,73959,634,122
Sparks,NV,39.5727,-119.7131,98345,1049,123
Twin Falls,ID,42.5631,-114.4637,53412,1017,124
Springfield,OR,44.0538,-122.981,61893,1510,125
Salem,OR,44.9231,-123.0245,256175,1330,126
Tigard,OR,45.4243,-122.7827,51902,1631,127
Vancouver,WA,45.6352,-122.5972,174826,1440,128
Walla Walla,WA,46.0678,-118.3364,56509,969,129
Yakima,WA,46.5926,-120.5492,133687,1313,130
Tacoma,WA,47.2431,-122.4531,211277,1640,131
Shoreline,WA,47.7563,-122.3425,55333,1830,132
Seattle,WA,47.6217,-122.3238,3541236,3243,133
Sammamish,WA,47.6045,-122.0446,63773,1337,134
Spokane Valley,WA,47.6625,-117.2345,96340,986,135
Spokane,WA,47.6671,-117.433,400936,1213,136
Wenatchee,WA,47.4251,-120.329,71426,1667,137
Lake Havasu City,AZ,34.5006,-114.3115,54662,449,138
Kingman,AZ,35.2168,-114.0167,43548,321,139
Harlingen,TX,26.1914,-97.6977,137119,633,140
Pharr,TX,26.1687,-98.1904,77320,1267,141
Mission,TX,26.204,-98.3251,83563,907,142
McAllen,TX,26.2203,-98.2457,798187,1113,143
Edinburg,TX,26.3183,-98.1622,87650,867,144
Rio Grande City,TX,26.3808,-98.8215,48516,492,145
Laredo,TX,27.5536,-99.489,256752,1015,146
Lake Jackson,TX,29.052,-95.4518,76721,546,147
Pearland,TX,29.5585,-95.3201,113570,946,148
League City,TX,29.4873,-95.109,102010,768,149
Galveston,TX,29.2487,-94.891,46610,474,150
Missouri City,TX,29.5634,-95.5377,74561,998,151
Pasadena,TX,29.6583,-95.1498,153351,1361,152
Houston,TX,29.7871,-95.3936,5424720,1412,153
Port Arthur,TX,29.8554,-93.9264,157732,278,154
Pflugerville,TX,30.4544,-97.6053,59245,1007,155
Round Rock,TX,30.5253,-97.6659,120892,1315,156
Leander,TX,30.5707,-97.8587,42761,717,157
Georgetown,TX,30.6669,-97.694,67140,497,158
Killeen,TX,31.0758,-97.7286,243947,1034,159
Lufkin,TX,31.3206,-94.729,46325,417,160
Odessa,TX,31.8831,-102.3407,149088,1007,161
Midland,TX,32.0278,-102.1107,142680,711,162
Longview,TX,32.5192,-94.7622,100852,568,163
Rockwall,TX,32.9169,-96.4379,43586,573,164
Mesquite,TX,32.7621,-96.5888,143736,1174,165
Rowlett,TX,32.9165,-96.5494,61999,1172,166
Richardson,TX,32.9717,-96.7092,113347,1532,167
Grand Prairie,TX,32.6869,-97.0209,190682,1019,168
Garland,TX,32.91,-96.6305,234943,1590,169
North Richland Hills,TX,32.8605,-97.218,69798,1486,170
Mansfield,TX,32.5692,-97.1208,65631,696,171
Haltom City,TX,32.8176,-97.2707,44361,1387,172
Grapevine,TX,32.9343,-97.0744,51971,628,173
Fort Worth,TX,32.7813,-97.3466,854113,968,174
Euless,TX,32.8507,-97.0798,54769,1305,175
Las Cruces,NM,32.3265,-106.7893,134050,510,176
Plano,TX,33.0502,-96.7487,286057,1541,177
McKinney,TX,33.1989,-96.6678,223422,1069,178
Frisco,TX,33.1551,-96.8219,163656,935,179
Little Elm,TX,33.1792,-96.9284,42504,1125,180
Lewisville,TX,33.0453,-96.9823,104659,1101,181
El Centro,CA,32.7873,-115.5578,111733,1522,182
Maricopa,AZ,33.0447,-112.0164,45666,381,183
La Mesa,CA,32.7703,-117.0203,59948,2549,184
Poway,CA,32.9872,-117.0201,50077,494,185
Oceanside,CA,33.2247,-117.3083,175464,1642,186
National City,CA,32.6654,-117.0983,61147,3243,187
Escondido,CA,33.1349,-117.0721,151613,1579,188
Encinitas,CA,33.0492,-117.2613,63131,1295,189
El Cajon,CA,32.8017,-116.9604,103768,2767,190
Lubbock,TX,33.5665,-101.8867,261076,794,191
Lake Forest,CA,33.6606,-117.6712,83240,1932,192
Laguna Niguel,CA,33.5275,-117.705,65328,1711,193
La Habra,CA,33.9278,-117.9513,61664,3237,194
Rancho Santa Margarita,CA,33.6318,-117.5989,48969,1466,195
Placentia,CA,33.8807,-117.8553,52228,3049,196
Orange,CA,33.8038,-117.8219,140504,2139,197
Newport Beach,CA,33.6151,-117.8669,86688,1407,198
Mission Viejo,CA,33.6095,-117.655,602851,2103,199
Huntington Beach,CA,33.696,-118.0023,200652,2857,200
Garden Grove,CA,33.7787,-117.9601,174858,3759,201
Fullerton,CA,33.8841,-117.9279,140721,2422,202
Fountain Valley,CA,33.7105,-117.9514,56529,2405,203
Phoenix,AZ,33.5722,-112.0891,4054083,1204,204
Peoria,AZ,33.7844,-112.2989,164173,360,205
Mesa,AZ,33.4016,-111.718,484587,1357,206
Goodyear,AZ,33.2613,-112.3622,77258,156,207
Glendale,AZ,33.5797,-112.2246,245895,1604,208
Lake Elsinore,CA,33.6847,-117.3346,64205,646,209
Perris,CA,33.7897,-117.2233,76331,938,210
Palm Springs,CA,33.8012,-116.538,47689,195,211
Palm Desert,CA,33.7378,-116.3696,52231,752,212
Murrieta,CA,33.572,-117.1909,476630,1283,213
Moreno Valley,CA,33.9244,-117.2045,205499,1547,214
Riverside,CA,33.9382,-117.3949,2065627,1544,215
Hemet,CA,33.7352,-116.9946,175066,1168,216
Roswell,NM,33.3729,-104.5294,49540,623,217
Lancaster,CA,34.6934,-118.1753,348760,655,218
Lakewood,CA,33.8471,-118.1222,81138,3326,219
La Mirada,CA,33.9025,-118.0093,49216,2429,220
Redondo Beach,CA,33.8574,-118.3766,67867,4227,221
Rancho Palos Verdes,CA,33.7554,-118.3636,42435,1216,222
Pomona,CA,34.0585,-117.7625,152494,2565,223
Pico Rivera,CA,33.9902,-118.0888,63635,2961,224
Pasadena,CA,34.1598,-118.1389,142059,2386,225
Paramount,CA,33.8976,-118.1651,54909,4482,226
Palmdale,CA,34.5945,-118.1058,157356,573,227
Norwalk,CA,33.9069,-118.0829,106178,4222,228
Monterey Park,CA,34.0497,-118.1325,61075,3074,229
Montebello,CA,34.0155,-118.1107,63335,2934,230
Rosemead,CA,34.0688,-118.0823,54500,4076,231
Lynwood,CA,33.924,-118.2017,71187,5678,232
Los Angeles,CA,34.114,-118.4068,12740381,3275,233
Long Beach,CA,33.8059,-118.161,470130,3607,234
Hawthorne,CA,33.9147,-118.3476,88031,5589,235
Glendora,CA,34.1449,-117.8466,51851,1031,236
Glendale,CA,34.1818,-118.2468,200831,2547,237
Gardena,CA,33.8944,-118.3073,60048,3977,238
El Monte,CA,34.0739,-118.0291,115807,4675,239
Lawton,OK,34.6171,-98.4204,92299,450,240
Oxnard,CA,34.1961,-119.1821,385837,2984,241
Lompoc,CA,34.6617,-120.4714,53062,1455,242
Norman,OK,35.2335,-97.3471,114444,263,243
Moore,OK,35.3294,-97.4758,61415,1086,244
Prescott,AZ,34.5799,-112.4476,42513,396,245
Oklahoma City,OK,35.4677,-97.5138,948154,406,246
Midwest City,OK,35.463,-97.371,57305,906,247
Edmond,OK,35.6689,-97.4159,91191,415,248
Redlands,CA,34.0512,-117.171,71288,763,249
Rancho Cucamonga,CA,34.1246,-117.5662,176534,1709,250
Ontario,CA,34.0393,-117.6064,173212,1339,251
Rialto,CA,34.1128,-117.3885,103314,1785,252
Highland,CA,34.1113,-117.1653,54939,1131,253
Hesperia,CA,34.3974,-117.3144,93724,495,254
Fontana,CA,34.0967,-117.4599,209665,1879,255
Rio Rancho,NM,35.2873,-106.6979,96028,358,256
Hanford,CA,36.326,-119.6539,90515,1276,257
Enid,OK,36.4061,-97.8701,49176,266,258
Porterville,CA,36.0636,-119.0332,76512,1293,259
Las Vegas,NV,36.2288,-115.2603,2044731,1829,260
North Las Vegas,NV,36.288,-115.0901,238702,940,261
Henderson,NV,36.0145,-115.0362,292969,1080,262
Hollister,CA,36.8564,-121.3981,45496,1994,263
Farmington,NM,36.7559,-108.1827,48137,472,264
Flagstaff,AZ,35.1867,-111.6175,78065,428,265
Palo Alto,CA,37.3917,-122.1465,67024,1084,266
Mountain View,CA,37.4001,-122.0796,80447,2589,267
Morgan Hill,CA,37.1324,-121.641,44155,1337,268
Milpitas,CA,37.4338,-121.8921,77528,2204,269
Gilroy,CA,37.0048,-121.5843,111004,1317,270
Reedley,CA,36.5988,-119.4473,48897,1833,271
Fresno,CA,36.7834,-119.7933,690895,1774,272
Merced,CA,37.3057,-120.4779,143272,1372,273
Redwood City,CA,37.5026,-122.2251,84950,1684,274
Madera,CA,36.964,-120.0803,82278,1575,275
Pleasanton,CA,37.666,-121.8805,82270,1300,276
Oakland,CA,37.7903,-122.2165,420005,2901,277
Newark,CA,37.5204,-122.0312,45810,1274,278
Livermore,CA,37.6863,-121.7607,89840,1280,279
Hayward,CA,37.6327,-122.0776,158937,1351,280
Fremont,CA,37.5256,-121.987,233136,1162,281
Modesto,CA,37.6371,-121.003,377755,1831,282
Pittsburg,CA,38.019,-121.897,70679,1587,283
Richmond,CA,37.9477,-122.339,109813,1410,284
Manteca,CA,37.7938,-121.2271,95797,1445,285
Lodi,CA,38.1218,-121.2933,71515,1825,286
Novato,CA,38.092,-122.5576,56004,787,287
Pueblo,CO,38.2701,-104.613,141280,794,288
Fairfield,CA,38.2593,-122.0319,145665,1083,289
Rancho Cordova,CA,38.5739,-121.2521,72326,801,290
Folsom,CA,38.6751,-121.1476,77271,1359,291
Elk Grove,CA,38.416,-121.3841,169743,1553,292
Petaluma,CA,38.2423,-122.6267,66940,1624,293
Rohnert Park,CA,38.348,-122.6964,42622,2349,294
Napa,CA,38.2982,-122.3011,87733,1738,295
Roseville,CA,38.7683,-121.3164,132671,1213,296
Rocklin,CA,38.8078,-121.2491,62787,1240,297
Lincoln,CA,38.8749,-121.2943,47030,903,298
Grand Junction,CO,39.0881,-108.5675,135389,613,299
Littleton,CO,39.5912,-105.0193,46333,1404,300
Lakewood,CO,39.6977,-105.117,154393,1390,301
Oroville,CA,39.5,-121.5647,45445,556,302
Lafayette,CO,39.9946,-105.0996,91767,1167,303
Longmont,CO,40.1691,-105.0995,97835,1312,304
Provo,UT,40.2458,-111.6457,501690,1083,305
Orem,UT,40.2988,-111.699,97499,2065,306
Lehi,UT,40.414,-111.8729,61130,862,307
Murray,UT,40.6498,-111.8875,49230,1542,308
Riverton,UT,40.5176,-111.9635,42838,1308,309
Loveland,CO,40.4168,-105.0622,76897,874,310
Fort Collins,CO,40.5487,-105.0656,301581,1154,311
Greeley,CO,40.415,-104.7697,131900,839,312
Layton,UT,41.0773,-111.9618,75655,1326,313
Redding,CA,40.5698,-122.365,120288,594,314
Ogden,UT,41.2281,-111.9677,571457,1230,315
Reno,NV,39.5487,-119.8486,427007,882,316
Logan,UT,41.7403,-111.8418,99909,1114,317
Grants Pass,OR,42.4334,-123.3318,55265,1272,318
Medford,OR,42.3372,-122.8537,167922,1223,319
Klamath Falls,OR,42.2193,-121.7755,42791,416,320
Meridian,ID,43.6182,-116.398,95623,1351,321
Nampa,ID,43.5833,-116.5641,169761,1136,322
Roseburg,OR,43.2228,-123.3519,44176,830,323
Eugene,OR,44.0562,-123.1172,263860,1459,324
Portland,OR,45.5372,-122.65,2027629,1851,325
Gresham,OR,45.5023,-122.4414,111523,1849,326
Hillsboro,OR,45.5289,-122.9373,105164,1671,327
Longview,WA,46.1471,-122.9642,65156,991,328
Lewiston,ID,46.3936,-116.9935,53520,736,329
Richland,WA,46.2828,-119.2939,54989,546,330
Pasco,WA,46.2499,-119.1271,70579,843,331
Lacey,WA,47.0444,-122.7933,47688,1139,332
Olympia,WA,47.0417,-122.8958,194532,1086,333
Lakewood,WA,47.1627,-122.5299,60665,1363,334
Missoula,MT,46.8687,-114.0089,89017,966,335
Great Falls,MT,47.5016,-111.2993,65960,1012,336
Kirkland,WA,47.6996,-122.1982,87701,1900,337
Redmond,WA,47.6776,-122.1176,62458,1464,338
Renton,WA,47.4757,-122.1904,100953,1663,339
Federal Way,WA,47.3091,-122.3358,96757,1677,340
Helena,MT,46.5963,-112.0196,49812,729,341
Marysville,WA,48.0812,-122.1559,163547,1261,342
Everett,WA,47.9524,-122.1672,109043,1271,343
Mount Vernon,WA,48.4203,-122.3114,68613,1093,344
